jen,東菄鶇倲涷蝀凍鯟崠埬
pyu,敷麩麱孚郛鄜鋪筟俘痡殍怤孵豧尃罦稃莩泭郙桴姇荂紨秿
ju,諏娵陬嗺掫
byu,跗趺膚肤邞鈇衭玞簠夫鳺柎扶妋
u,紆陓扜蓲迂虶
syu,輸鄃隃
cu,樞姝袾
ju,廚躕趎幮裯
gyu,拘駒眗岣斗阝捄跔鮈俱痀
syu,毹橾螋
mo,模橅摸嫫謨墲无膜
bo,酺匍蜅荹樸菩蒲蒱
ho,胡壺狐瓳餬瑚湖鶘猢醐糊弧乎瓠葫魱箶虖
go,孤苽菰胍姑辜呱泒酤觚蛄箛鴣橭沽柧盬嫴罛軱箍
do,徒屠瘏塗途酴駼鵌涂梌荼圖啚廜菟捈嵞峹鍍鷵筡
no,奴砮駑帑孥笯
ho,呼嘑虖歑戲謼膴幠葫恗軤虍苸雐滹
o,吾鼯吳浯珸蜈郚齬鯃娪鋘梧峿麌祦
jo,租蒩
lo,盧鑪壚籚蘆顱髗鱸攎櫨轤黸獹鸕艫纑瀘瓐爐玈嚧矑罏蠦
so,蘇穌酥
so,徂殂
o,烏嗚洿汚杇圬釫鰞歍鎢於瑦鄔螐惡扝鴮
bo,逋餔晡庯陠鵏峬誧秿鯆抪
ko,枯刳扝郀軲跍挎橭鮬
co,麤麁觕
to,稌悇嶀庩梌捈
do,都闍醏
po,鋪鯆痡誧陠墲
sey,齊臍麡蠐懠癠
ley,黎犂莉黧藜鯬盠邌廲蔾筣驪瓈謧
cey,妻萋淒凄悽鶈郪緀齌霋
jey,低氐袛磾鞮腣羝眡隄堤岻奃趆鍉柢揥
jey,嗁啼蹏蹄提詆瑅隄桋題媞綈罤締蕛稊醍褆鵜荑禔崹緹鷤鼶騠折銕謕鶙蝭鴺銻鮷趧鮧鯷睼
bey,豍螕蓖篦梐狴箄鎞悂
gey,雞鷄稽枅笄卟
hey,奚豯徯蹊螇榽騱胿郋傒嵆兮鼷蒵貕
ey,鷖翳嫛黳黟繄
ey,倪蜺霓郳齯婗輗棿猊麑貎鯢兒觬
hey,醯橀忚
syey,西卤卥棲栖犀嘶撕屖粞
cey,梯睇鷈謕
bey,鼙鞞椑膍崥笓
pey,磇錍批鈚
jey,齎賷次韭齏櫅擠齌躋隮麡啙
mey,迷麛
ney,泥埿屔臡
key,谿嵠溪磎鸂檕螇
gwey,圭珪邽閨袿窐鮭洼胿茥
kwey,睽奎湀刲茥聧鮭蝰楏藈
hwey,攜蠵鑴窐畦驨雟酅纗讗黊眭觿
ney,臡
syey,栘
wey,烓
hwey,睳
gyay,佳街
hay,鮭膎鞵鞋榽
bay,牌郫蠯棑犤
gway,媧緺腡蝸騧歄
way,蛙鼃
kway,咼喎絓
say,柴祡茈査
cay,釵靫叉芆差
hway,竵
nay,掜誽
ay,崖涯啀猚厓
ay,娃洼哇唲
say,崽籭諰
hay,
cay,扠
may,
hway,鼃
gyay,皆偕稭喈階薢荄痎堦楷鶛湝街蝔鍇
ay,
hay,諧骸瑎湝龤蝔鞋
bay,排俳輫牌狎
gway,乖
hway,懷褱櫰槐淮褢瀤
kway,匯
say,豺儕麡
cay,差
hway,虺
jway,頁
may,埋薶霾
jay,齋
way,崴碨溾
jay,榸
lay,唻
kyay,揩
nay,摨
say,崽
ay,娾
cay,搋
hay,
lway,
sway,膗
hway,灰鼿豗虺
kway,恢詼悝魁又顝盔
way,隈煨渨椳偎揋葨鰃
hway,回洄迴槐徊瑰蚘蛕佪烠茴
may,枚梅媒玫煤脢脄腜禖莓塺鋂
gway,傀瑰瓌鞼櫰膭
lway,雷儡瓃櫑罍鑘鐳畾轠
dway,穨頽隤墤魋蘈蹪
cway,崔催縗
dway,磓塠頧堆鴭鎚搥嵟敦坐
sway,挼毸嗺蓑
sway,摧崔慛槯檇
bay,裴徘培陪婄棓毰輫
bay,桮杯盃
pay,肧坯醅衃抔
way,鮠桅嵬磑峞
tway,蓷推藬
nway,捼
jway,嗺脧
hay,咍
kay,開欬侅奒
ay,哀埃唉欸毐
day,臺擡菭苔炱嬯薹儓檯駘籉跆
gay,該豥垓荄郂剴陔姟絯晐峐祴侅賅胲
say,裁纔財才材渽鼒
lay,來萊郲騋崍斄猍淶鯠鶆庲棶犛逨麳徠
jay,烖灾災栽哉渽睵
cay,猜偲睵
bay,
tay,胎孡鮐台邰颱
hay,孩咳頦豥
say,鰓揌粞顋愢毢
ay,皚嵦敳隑剴獃
nay,能㾍
day,懛
cay,
pay,
jin,眞甄振禛稹磌畛籈侲桭蒖唇帪薽
cin,胂縝
in,因茵鞇禋闉駰湮烟氤絪垔陻堙洇姻婣諲裀歅
sin,新辛薪
sin,辰晨宸鷐麎桭茞屒臣
nin,仁朲人
sin,神晨
cin,親寴
in,礥
sin,申伸紳娠呻眒胂身柛訷
bin,賔濵
lin,燐鄰轔嶙粼磷疄麟麐鱗璘駗翷瞵獜驎鏻繗潾
gin,堇墐魿
jin,珍鎭塡
jin,陳趁塵
jin,津璡濜
cin,瞋嗔謓縝
sin,秦螓
in,寅夤蔩螾
nin,紉
pin,
bin,頻蘋玭顰嚬
in,銀狺檭鄞圁誾訔嚚珢垠泿
gin,巾
gyun,麏麇麕頵莙汮
yun,筠囩縜荺
kyun,囷箘箟輑蜠峮
min,珉岷罠閩緡笢旻旼闅汶忞盿鍲鈱
bin,貧
in,鼘駰
yun,贇奫頵蝹
bin,彬斌份玢豳邠汃霦攽虨砏
min,民闅泯怋
jun,諄惇肫訰
cun,椿楯輴鶞杶櫄瑃
jun,
syun,荀郇詢眴峋珣洵恂畇檈槆姰
syun,純蓴蒓醇鶉陙錞淳焞
nyun,犉瞤眴
syun,脣漘紃
lyun,淪倫論輪陯鯩蜦棆綸惀侖踚掄
jun,屯窀迍
cun,逡竣皴墫捘竴踆夋
jun,遵跧僎嶟鷷
cun,春
syun,鷷
yun,勻畇
syun,旬巡馴循揗紃洵楯灥畇
gyun,均鈞袀汮
gin,
pin,砏虨
jin,臻蓁搸溱潧榛樼瀙轃
sin,莘扟駪籸甡兟詵侁屾燊阠姺
sin,帘
myun,文聞彣紋雯馼蟁蚊鳼闅汶閩
un,雲芸蕓耘鄖妘紜溳澐云篔貟愪沄耺橒
un,氲緼馧蒀藴蝹煴
byun,汾墳氛鼖濆焚燌羒豶頒羵枌鳻蕡萉橨棼賁葐魵妢棻梤肦鐼馩馚鼢蚡轒
byun,分饙餴扮
gyun,羣帬裠宭
hyun,薰曛勲勛熏燻獯纁醺葷焄臐
gyun,君軍皸桾莙宭鮶
pyun,芬紛衯棻砏氛雰錀
hin,欣忻昕訢炘邤
in,殷慇溵
gin,勤芹懃慬懄瘽蘄
gin,斤筋釿
in,圻垠齗齦斦狺鄞
wan,元原邍源厵杬嫄沅騵黿羱蚖芫邧榞謜獂阮蒝
wan,袁爰垣亘園援榬轅鶢媛洹溒蝯猨猿
ban,煩番蹯繁蘩薠樊繙燔膰瀿羳鷭蟠蕃蠜礬鐇璠笲襎袢棥緐墦旛藩
pan,飜翻旛番幡轓繙反
hwan,暄煖喛萱諼塤壎吅貆喧諠愋讙翧蝖
wan,鴛冤鵷惌宛蜿蒬怨葾裷眢
an,言琂甗
kyan,攑
hyan,軒掀鶱蓒
gyan,靬鞬犍腱騝
an,蔫焉
ban,蕃藩轓鱕籓鐇
gyan,赶
man,樠
hon,餛餫鼲楎渾沄忶俒堚煇顐琿
gon,昆晜菎褌崐琨鵾鶤鯤蜫惃錕瑻猑騉
on,温輼蕰殟鴛豱缊韞
mon,門捫樠虋璊亹怋
son,孫蓀飧蕵猻搎
jon,尊罇樽嶟繜
son,存蹲拵袸
don,敦惇弴驐墩
ton,暾燉涒噋黗
don,屯豚豘窀臀軘飩坉沌邨燉忳啍芚庉
con,村
on,瘒顐梱
bon,盆葐湓
bon,奔賁犇
lon,論崘掄菕
kon,坤巛髡臗髖豤
hon,昏惛婚棔閽殙
pon,濆噴歕
non,黁
hon,痕鞎拫
gon,根跟珢
on,恩煾
ton,吞
on,垠圻泿
han,寒翰鶾邯邗虷汗
an,豻犴雃
dan,單襌鄲丹殫簞匰癉
an,安鞌侒
nan,難鳥隹隹
can,餐湌
tan,灘嘽嘆攤譠痑擹嬗
san,跚珊姍
dan,壇檀鷤癉撣彈驒驙但胆繟儃聅唌貚
san,殘戔又帴
gan,干乾漧竿肝奸鳱玕邗汗迀忓
lan,蘭瀾闌讕攔籣欄躝幱
kan,看栞靬臤刊
han,頇鼾
nwan,濡
hwan,桓完丸瓛紈雚萑洹汍絙芄豲梡荁莞綄莧貆狟峘垸寏院捖
wan,岏刓园忨蚖羱黿抏
dwan,端褍剬耑鍴竱偳
wan,剜眢豌蜿帵婠
twan,湍貒煓偳
swan,酸狻痠
dwan,團慱篿剸鄟敦漙鷒摶
swan,櫕鑚巑菆禶鄼纂劗
gwan,官悹莞棺觀貫冠涫倌毌
lwan,鑾鸞巒欒羉臠灤灓圝
hwan,歡懽驩貆貛鴅酄獾犿讙
kwan,寬髖
jwan,鑚劗
ban,槃盤鎜柈瘢磻幋磐般蹣搫鞶繁媻縏蟠
man,瞞顢謾蹣饅慲鏝槾墁鞔樠鰻曼蔓芇悗鬗絻
pan,潘番拌
ban,般
san,刪訕潸狦
gwan,關関癏擐
wan,彎灣潫
swan,
hwan,還環刂鬟寰闤糫鍰圜鐶轘郇澴
ban,班頒鳻朌螌斑辬般斒鯿扳
man,蠻獌鬘謾
an,顔楌
gyan,姦菅葌
ban,攀扳眅
nwan,奻
wan,頑
kyan,馯
kyan,豻鬜
jwan,跧
san,山疝邖
gwan,鰥綸
gyan,閒艱囏靬蕑覸
han,閑嫺癇蛝瞯鷴藖憪
kyan,慳顅掔鬜羥臤
san,虥潺孱僝
han,羴
an,詽虤
an,黰殷黫
ban,斒虨
lan,斕潾
nan,嘫
can,
wan,
dwan,窀
lwan,
gwan,
jan,譠
jan,
hwan,湲
san,虥
syen,先躚蹮
sen,前歬騚湔
cen,千圱阡汘仟芊谸迁杄
jen,箋牋瀳帴韉淺湔轃濺籛
cen,天吞詽
gen,堅鑒幵肩鳽豜猏菺麉鵳鰹
hen,賢臤弦絃舷胘蚿伭婱礥痃
en,煙烟燕咽橪驠湮胭閼
len,蓮憐怜嗹縺零
jen,田佃畋盷塡寘闐鈿沺磌鷆嗔滇貚搷
nen,秊年
jen,顚齻槇瘨癲滇巔驒傎蹎厧
ken,牽縴郉汧蚈掔岍雃
en,姸鳽硏揅趼俓
men,眠瞑矏
ben,蹁骿軿駢胼跰楄賆玭琕
wen,淵刂囦弲剈鼘蜎
gwen,涓睊蠲鵑焆鞙
hwen,鋗駽梋矎
ben,邊籩甂蝙猵編萹牑蹁
hwen,玄縣懸眩玹玆盷胘訇
hen,祆詽
swen,
syen,仙僊巳苮躚秈鮮硟鱻廯
sen,錢
cen,遷阝櫏韆
jen,煎湔葏鬋
nen,然燃肰繎
en,延埏筵狿郔綖蜒鋋莚
jen,饘旃旜栴氈鸇
gen,甄薽籈
jen,邅驙鱣
syen,潺孱
syen,羶埏挻扇煽鯅脠
cen,脠梴鏈
syen,鋋單蟬撣儃僤禪澶嬋
jen,纏緾躔瀍鄽廛
hen,嘕屳嫣
len,連聮漣翴鰱令鏈槤
pen,篇偏翩媥扁萹
ben,便緶楩諞箯楄
men,緜綿棉謾矊蝒矏芇宀櫋臱
swen,全仝泉牷葲
swen,宣揎愃頁瑄
jwen,鐫鋑脧剶
hwen,翾儇弲蠉嬛譞頨
nwen,堧瑌撋繎
cwen,穿川灥
wen,沿鉛鈆櫞捐鳶蝝縁
swen,旋檈璿琁璇蜁還嫙鏇
wen,姢嬛悁蜎潫
swen,船舩
ben,鞭鯾鯿編箯揙
syen,涎
cwen,詮銓硂痊佺悛駩筌絟譔謜縓恮荃峑鐉拴
jwen,專甎顓篿嫥諯湍膞鱄鷒鄟
swen,遄篅圌諯輲輇椯歂
wen,貟圜圎湲
jwen,恮跧蟤
swen,栓
cwen,猭剶
gen,乾虔犍鰬騝榩鍵揵
ken,愆諐褰騫攐
gwen,權拳狋觠顴踡婘孉犈蠸齤卷鬈蜷捲
jwen,椽傳
lwen,攣
kwen,弮棬鬈
en,焉閼蔫嫣鄢
en,漹焉
wen,嬽潫
cen,燀
jwen,
gwen,勬
syaw,蕭簫彇蟰橚潚踃箾艘瞍翛撨
caw,祧佻挑脁恌庣銚趒聎蓧
jaw,貂刁琱凋鯛雕鵰蛁彫奝弴瞗
jaw,迢條樤髫跳鋚蜩佻趒苕芀調鮡岧鞗嬥鰷
gyaw,驍梟澆憿釗邀蟂徼
lyaw,聊膋膫飉遼憀竂寥料橑撩摷廖僚寮鐐簝豂鷯璙嫽漻蟟瞭嶚翏繚憭獠髎蟧敹嘹熮
yaw,堯嶢僥垚顤
hyaw,膮嘵憢
yaw,幺怮葽
kyaw,鄡郻墽
syaw,宵消霄捎逍痟綃銷焇硝蛸莦哨鮹揱奞魈
caw,超怊欩
jaw,朝
jaw,晁鼂朝潮
hyaw,嚻枵歊毊獢藃呺虈
syaw,樵劁憔顦譙嶕鐎僬撨菬
gyaw,驕嬌憍穚鷮蕎喬簥撟
jaw,焦蕉膲鷦椒茮噍鐎蟭僬燋
nyaw,饒橈襓犪蟯蕘
syaw,燒系
yaw,遥媱傜繇颻欠窯窰珧鰩銚姚摇謡軺愮恌陶蘨系鷂洮烑榣嗂瑶猺餆褕
syaw,韶佋玿軺柖
jaw,昭鵃鉊招釗盄皽
baw,飊標猋杓瘭幖熛蔈驫贆髟
baw,鑣臕儦瀌藨
baw,瓢飄剽薸螵
myaw,蜱篻
myaw,苗描緢貓猫
yaw,要腰葽喓邀蟯
yaw,鴞
gyaw,喬橋趫僑鐈鷮毊轎嬌蕎蟜蹻
caw,鍫鐰篍幧
yaw,妖祅枖訞夭
kyaw,蹻繑趬蹺
caw,怊弨
paw,爂漂杓嫖旚犥鏢僄飄慓彯摽翲瞟螵嘌
gyaw,翹荍嘺
lyaw,燎髎
kyaw,趫橇鞽
haw,肴餚崤殽洨絞筊姣猇爻淆胶倄
gyaw,交蛟茭鵁膠鮫咬郊轇敎摎鉸佼艽詨嘐
saw,巢轈勦樔鄛
naw,鐃呶譊怓
saw,梢捎髾輎旓弰筲鞘蛸鮹綃颵莦娋
maw,茅蝥貓犛罞鶜描媌
haw,虓猇髇穘窙嗃哮庨灱涍嘐顤
baw,包胞枹苞勹
baw,胞脬拋泡
kyaw,敲跤骹磽礉鄗墝頝
aw,聱謷磝
jaw,罺抓摷
jaw,嘲啁鳭鵃
caw,抄鈔訬
baw,庖咆匏炮炰鉋麃掊颮鞄狍跑捊尥泡
aw,坳窅軪眑咬梎
caw,嘮
law,顟賿
jaw,䄻
haw,豪號毫噑濠壕崤
gaw,髙膏皐皋羔餻櫜咎鼛篙槹
law,勞澇牢窂簩蟧醪撈髝憥嫪哰簝
haw,蒿撓薧薅茠
maw,毛髦芼旄氂枆酕堥
taw,饕洮韜縚謟滔叨弢慆絛幍槄蜪夲綢搯瑫詜挑
daw,刀魛忉裯舠朷
saw,騷搔繅繰臊鰠溞颾鱢慅
baw,袍袌軳
baw,襃褒
daw,陶咷桃綯燾逃鼗鞀鞉濤掏檮騊萄翿匋啕錭駣蜪祹
jaw,糟醩遭槽傮
aw,敖遨翶聱驁熬嶅獒滶蔜鷔鼇螯謷嗸嗷摮嫯鰲
saw,曹槽螬嘈鐰艚蓸漕褿
aw,鏖
naw,猱巎嶩峱獿
kaw,尻訄
caw,操幧
paw,藨
ga,歌謌柯妿菏牁戕滒哥鴚
ca,蹉瑳搓磋溠傞
da,多
sa,娑挱挲傞獻桫
da,駝駞鼉紽鮀陀驒沱跎詑池酡迱鼧袉佗
sa,醝瘥鹺嵳蒫蔖虘齹
a,莪哦娥峩鵝俄蛾睋涐誐硪
ta,佗他拕它蛇痑鼧
la,羅蘿籮儸饠欏囉鑼剆
na,那能挪儺臡
ha,何河荷菏苛蚵魺
ha,訶呵
ka,珂軻
a,阿娿妸妿鈳
gwa,戈過渦鍋楇瘑緺堝
cwa,遳
dwa,桗
swa,莎魦莏趖蓑唆髿梭
ba,婆媻鄱皤繁搫蔢碆
dwa,碢堶
ma,摩魔磨劘
swa,矬痤銼睉
wa,訛譌吪鈋囮魤
twa,詑涶
lwa,摞騾驘鸁螺蠃覼腡蠡
nwa,捼
ba,波皤紴嶓番碆
pa,頗坡玻
hwa,和咊禾龢鉌盉
kwa,科窠薖稞萪蝌犐課簻髁
wa,倭濄渦涹踒
hwa,鞾靴
wa,
kwa,
gya,伽茄枷
kya,佉呿
gya,迦
cwa,脞
jwa,侳
gwa,瘸
lwa,
ma,麻犘蟆痲
ca,車硨
sya,奢賖畬
ya,邪耶瑘釾鎁椰擨斜
ja,遮諸
ja,嗟罝蒫謯瘥袓怚
sya,蛇虵荼
hwa,華驊鷨鋘鏵釫樺崋划
gwa,瓜騧緺婐蝸媧
hwa,華花譁
kwa,誇夸姱跨胯
na,拏詉挐摣蒘笯
gya,嘉家加葭笳麚豭猳痂鴐枷袈跏茄迦珈瘕犌幏貑蟼
ha,遐蝦鍜霞瑕騢鰕碬赮蕸
ba,葩鈀妑蚆吧舥
a,鴉鵶錏椏丫
ba,巴鈀笆豝芭蚆吧
ca,叉杈差靫鎈艖
sa,鯊魦沙砂裟桬紗髿硰
a,牙衙芽齖呀枒吾
ja,樝柤皻抯溠渣浾
ja,荼茶秅塗梌
sya,衺斜邪
sya,闍余鉈鍦
wa,窊洼畖蛙窪哇
jwa,髽
jwa,檛簻膼
ba,爬杷琶
sa,楂査槎苴
ca,侘哆多
ja,奓觰咤
ha,煆呀谺疨岈颬
kya,
sya,
nya,若婼
sya,些
ja,爹
wa,
kya,
yang,陽暘楊揚颺昜羊样眻佯詳徉洋烊煬鍚輰敭瘍鴹鰑鸉蛘禓崵諹瑒
syang,詳洋翔庠祥痒
lyang,良梁粱粮糧涼凉量蜋踉椋綡輬
hyang,香皀薌郷膷
syang,商傷殤慯觴蔏螪禓饟塲
bang,房防坊魴方肪鴋
jang,章漳樟慞璋彰墇障麞獐鄣蔁暲
cang,昌裮倡猖閶琩鯧菖
kyang,羌猐蜣
gyang,薑畺疆壃畕繮韁殭礓橿姜僵
jang,長萇腸場瓺
jang,張餦粻漲
nyang,穰禳攘鑲躟瀼獽儴蘘鬤勷瓤孃
bang,方汸坊蚄肪邡鴋枋鈁牥趽匚
syang,襄廂湘相緗纕忀驤鑲瓖欀箱葙
jang,將漿鱂蔣螿
cang,創瘡
mang,亡芒莣鋩硭杗朚邙望朢
nyang,孃娘瓤鑲
